"","Anochetus.diegensis","Anochetus.horridus","Anochetus.mayri","Ectatomma.brunneum","Ectatomma.lugens","Ectatomma.tuberculatum","Gnamptogenys.curvoclypeata","Gnamptogenys.ericae","Gnamptogenys.haenschi","Gnamptogenys.horni","Gnamptogenys.tortuolosa","Gnamtogenys.pleurodon","Holcoponera.bisulca","Holcoponera.dichotoma","Holcoponera.striatula","Hypoponera.fiebrigi.var.antoniensis","Hypoponera.trigona","Mayaponera.constricta","Neoponera.apicalis","Neoponera.commutata","Neoponera.inversa","Neoponera.laevigata","Neoponera.obscuricornis","Odontomachus.bauri","Odontomachus.brunneus","Odontomachus.haematodus","Odontomachus.hastatus","Odontomachus.mayi","Pachycondyla.crassinoda","Pachycondyla.harpax","Pachycondyla.impressa","Pachycondyla.lattkei","Paraponera.clavata","Ponerocantha.enodis"
"Bosque",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chagra",1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0
"Urbano",1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,1
