"size_based.Assemblage" "size_based.t" "size_based.Method" "size_based.Order.q" "size_based.qD" "size_based.qD.LCL" "size_based.qD.UCL" "size_based.SC" "size_based.SC.LCL" "size_based.SC.UCL" "coverage_based.Assemblage" "coverage_based.SC" "coverage_based.t" "coverage_based.Method" "coverage_based.Order.q" "coverage_based.qD" "coverage_based.qD.LCL" "coverage_based.qD.UCL"
"1" "Bosque" 1 "Rarefaction" 0 1.39153439153439 1.23705616839889 1.54601261466989 0.155286789094766 0.125749435243334 0.184824142946199 "Bosque" 0.155286789094766 1 "Rarefaction" 0 1.39153439153439 1.22271571313259 1.5603530699362
"2" "Bosque" 5 "Rarefaction" 0 5.27074127970409 4.75376165405673 5.78772090535144 0.479576434538382 0.429691980494825 0.52946088858194 "Bosque" 0.479575550190335 5 "Rarefaction" 0 5.27072628000077 4.3842783501808 6.15717420982075
"3" "Bosque" 10 "Rarefaction" 0 8.39938448568094 7.58034127865679 9.21842769270509 0.630015574949639 0.588654768947311 0.671376380951967 "Bosque" 0.630015850236135 10 "Rarefaction" 0 8.39939175136021 7.03998933660908 9.75879416611133
"4" "Bosque" 15 "Rarefaction" 0 10.7444008598859 9.69714769098335 11.7916540287884 0.70475165951715 0.667706405477516 0.741796913556784 "Bosque" 0.70475163599602 15 "Rarefaction" 0 10.7443999988913 9.05672445645024 12.4320755413323
"5" "Bosque" 20 "Rarefaction" 0 12.6529404084138 11.4205437144706 13.885337102357 0.753708156177604 0.719353792112611 0.788062520242598 "Bosque" 0.753708232805492 20 "Rarefaction" 0 12.6529435912373 10.7160112190935 14.589875963381
"6" "Bosque" 25 "Rarefaction" 0 14.2612835289044 12.8708657941978 15.6517012636109 0.789513249721581 0.757449812033988 0.821576687409173 "Bosque" 0.789513342104748 25 "Rarefaction" 0 14.2612878799779 12.1172979612564 16.4052777986994
"7" "Bosque" 29 "Rarefaction" 0 15.3839418680238 13.8806858588608 16.8871978771868 0.812021820037635 0.781589285245613 0.842454354829656 "Bosque" 0.812021987044063 29 "Rarefaction" 0 15.3839504488132 13.0903684536818 17.6775324439445
"8" "Bosque" 34 "Rarefaction" 0 16.6256900327607 14.9937813754753 18.257598690046 0.834761675161013 0.806117232025422 0.863406118296603 "Bosque" 0.834761683842523 34 "Rarefaction" 0 16.6256905241458 14.156444326214 19.0949367220776
"9" "Bosque" 39 "Rarefaction" 0 17.7222190920402 15.9720589814361 19.4723792026442 0.85311278686002 0.826005118831706 0.880220454888333 "Bosque" 0.853112775807694 39 "Rarefaction" 0 17.722218395104 15.0856328813649 20.358803908843
"10" "Bosque" 44 "Rarefaction" 0 18.7005764524337 16.8400772705748 20.5610756342926 0.868235513759966 0.842457944568427 0.894013082951504 "Bosque" 0.868235472807809 44 "Rarefaction" 0 18.7005736726737 15.9029535959286 21.4981937494189
"11" "Bosque" 49 "Rarefaction" 0 19.5808723725005 17.6162356588456 21.5455090861554 0.880915711599979 0.856303999521786 0.905527423678172 "Bosque" 0.880915727065208 49 "Rarefaction" 0 19.5808734718362 16.6273094855209 22.5344374581515
"12" "Bosque" 54 "Rarefaction" 0 20.3784776951618 18.3147125729222 22.4422428174013 0.891698240266025 0.868121074776565 0.915275405755485 "Bosque" 0.891698203046822 54 "Rarefaction" 0 20.3784748303804 17.2732733632433 23.4836762975174
"13" "Bosque" 58 "Rarefaction" 0 20.9652114581062 18.8251748684426 23.1052480477698 0.89922200558518 0.876393962773753 0.922050048396607 "Bosque" 0.899222037323771 58 "Rarefaction" 0 20.9652139678503 17.7413723933972 24.1890555423034
"14" "Bosque" 63 "Rarefaction" 0 21.6427300694016 19.4106172752016 23.8748428636015 0.907493195042427 0.885517578703726 0.929468811381128 "Bosque" 0.907493192702314 63 "Rarefaction" 0 21.642729870803 18.2733134736966 25.0121462679094
"15" "Bosque" 68 "Rarefaction" 0 22.2657398857216 19.9447388880032 24.58674088344 0.914711272684428 0.893506038019766 0.93591650734909 "Bosque" 0.914711245268334 68 "Rarefaction" 0 22.2657374377263 18.7533161024034 25.7781587730492
"16" "Bosque" 73 "Rarefaction" 0 22.8410641425375 20.4340013577761 25.2481269272989 0.921048704728022 0.900540761045988 0.941556648410057 "Bosque" 0.921048687847825 73 "Rarefaction" 0 22.8410625589929 19.187602154438 26.4945229635479
"17" "Bosque" 78 "Rarefaction" 0 23.3744347666145 20.8838523852069 25.8650171480222 0.926641386785144 0.906764523521593 0.946518250048694 "Bosque" 0.926641405372395 78 "Rarefaction" 0 23.3744365707081 19.5811647234011 27.167708418015
"18" "Bosque" 82 "Rarefaction" 0 23.7742183593184 21.2184934422613 26.3299432763755 0.93065356561097 0.91123768908532 0.95006944213662 "Bosque" 0.930653574426687 82 "Rarefaction" 0 23.7742192488847 19.8692725792461 27.6791659185232
"19" "Bosque" 87 "Rarefaction" 0 24.2438538984737 21.6086247677495 26.879083029198 0.935168092339246 0.916277681046512 0.954058503631979 "Bosque" 0.935168081858605 87 "Rarefaction" 0 24.2438527740492 20.1981657957482 28.2895397523502
"20" "Bosque" 92 "Rarefaction" 0 24.6834674665981 21.970708307118 27.3962266260782 0.939197780013828 0.920780458536851 0.957615101490805 "Bosque" 0.939197785917325 92 "Rarefaction" 0 24.6834681221257 20.4931822064393 28.8737540378122
"21" "Bosque" 97 "Rarefaction" 0 25.0962456999994 22.3077726444103 27.8847187555885 0.942807499857355 0.924814820258257 0.960800179456452 "Bosque" 0.942807492647611 97 "Rarefaction" 0 25.0962448506805 20.7508375225606 29.4416521788005
"22" "Bosque" 102 "Rarefaction" 0 25.4849528762975 22.6224372163464 28.3474685362487 0.946052126677027 0.928439226685568 0.963665026668487 "Bosque" 0.946052117980799 102 "Rarefaction" 0 25.4849518036836 20.949678843496 30.0202247638712
"23" "Bosque" 107 "Rarefaction" 0 25.8519950686787 22.9169731139907 28.7870170233667 0.94897837480277 0.931703668346061 0.966253081259479 "Bosque" 0.948978381575058 107 "Rarefaction" 0 25.8519959331909 21.1030230137846 30.6009688525972
"24" "Bosque" 111 "Rarefaction" 0 26.1314507065076 23.1394440885397 29.1234573244755 0.951117190160537 0.934085105968247 0.968149274352826 "Bosque" 0.951117185623186 111 "Rarefaction" 0 26.1314500996322 21.1894530028513 31.0734471964131
